
# === SESSION ===
key,value
timestamp,2026-07-02T00:49:50.023Z
version,2.7.189
round,12
day,0
globalDay,11
totalRounds,12
simMode,competitive
scenarioPreset,standard
powerGrid,independent
commsGrid,independent
daysPerRound,7

# === CONFIG_CONSTANTS ===
key,value,unit
score_pts_per_kg_ice,1,pts/kg
score_pts_per_asset_pt,15,pts/ap
score_penalty_per_violation,25,pts
score_carry_fraction,0.5,fraction
days_per_round,7,days
px_per_km,2,px/km
km_per_px,0.5,km/px
comsat_relay_radius_km,30.00,km
zone_core_km,1,km
zone_harmonization_km,5,km
zone_coordination_km,10,km
zone_display_scale,3,x
zone_core_render_km,3.00,km
zone_harmonization_render_km,15.00,km
zone_coordination_render_km,30.00,km
zone_tier_mult.core,1,xcore
zone_tier_mult.harmonization,5,xcore
zone_tier_mult.coordination,10,xcore
functional_reach.solar,2.89,km
functional_reach.habitat,14.43,km
functional_reach.pad,7.22,km
functional_reach.rover,1.44,km
functional_reach.reactor,5.78,km

# === INITIAL_CONDITIONS ===
key,value
map_width_px,1212
map_height_px,1212
km_per_px,0.5
px_per_km,2
totalRounds,12
scenarioPreset,standard
claimRadius_actorI_px,92.77777777777777
claimRadius_actorII_px,80
actorI_base_px,"553,703"
actorII_base_px,"1005,170"
actorIII_base_px,
actorI_stakeholder,Concordium
actorII_stakeholder,LRC

# === CRATERS ===
crater_idx,name,cx_px,cy_px,cx_km,cy_km,quality,size_px
ACTOR_II,rover,1,315.00,242.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,rover,2,340.00,261.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,rover,3,346.00,256.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,rover,4,346.00,250.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,rover,5,309.50,241.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,rover,6,310.50,243.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,rover,7,309.00,238.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,rover,8,302.00,300.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,rover,9,381.00,300.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,rover,10,311.50,227.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,rover,11,296.00,235.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,rover,12,310.50,225.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,rover,13,298.50,234.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,rover,14,385.50,230.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,rover,15,370.50,215.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,rover,16,339.00,225.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,rover,17,358.00,211.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,rover,18,339.50,212.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,rover,19,387.00,292.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00

# === ZONE_OVERREACH ===
actor,core_scale,harmonization_scale,coordination_scale,legacy_zoneScale,safetyMult,overreach_weighted,zone_assets,overreach_penalty
ACTOR_I,1.000,1.000,1.000,1,1,0.000,22,0
ACTOR_II,1.000,1.000,1.000,1,1,0.000,37,0

# === ZONE_INTERACTIONS ===
owner,owner_type,owner_idx,owner_x_km,owner_y_km,vs_actor,vs_type,vs_idx,vs_x_km,vs_y_km,separation_km,core_km,harmonization_km,coordination_km,innermost_tier
ACTOR_I,solar,0,303.50,319.50,ACTOR_II,solar,0,318.00,255.00,66.11,3.00,15.00,30.00,outside
ACTOR_I,solar,0,303.50,319.50,ACTOR_II,solar,1,370.50,307.00,68.16,3.00,15.00,30.00,outside
ACTOR_I,solar,0,303.50,319.50,ACTOR_II,solar,2,295.00,311.50,11.67,3.00,15.00,30.00,harmonization
