battery_id,run_id,seed,scenario,total_rounds,mission_end,arrival_delay,grid_sharing,grid_permanent,winner,score1,score2,score_gap,ice1_kg,ice2_kg,ap1,ap2,vio1,vio2,dep_blocked1,dep_blocked2,strand_risk1,strand_risk2,stranded1,stranded2,unpow_hab1,unpow_hab2,offers,joins,decouples,shared_days,contested_days,craters_depleted,duration_days,extracted_kg,extracted_pct,rovers1,rovers2,habitats1,habitats2,reactors1,reactors2,governance,strand_pen_days1,strand_pen_days2,rescues1,rescues2,strand_night,strand_far,strand_other,reserve1_kg,reserve2_kg
baseline,baseline_44,1593037378,standard,12,fixed,5,1,0,1,1195.0,-2182.9,3377.9,230.0,309.1,199,45,111,134,0,0,0,11,0,1,10,3,27,24,23,28,0,0,84,849.1,2.59,3,2,1,1,0,0,,0,4,0,1,1,0,0,0.0,0.0
baseline,baseline_45,1593047351,standard,12,fixed,5,1,0,2,2224.5,2791.5,-567.0,149.5,221.5,127,171,0,18,0,0,0,0,0,0,0,0,17,17,17,36,0,0,84,601.1,1.84,2,3,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_46,1593057324,standard,12,fixed,5,1,0,1,2038.1,1135.5,902.5,133.1,469.5,127,45,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,84,602.6,1.84,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_47,1593067297,standard,12,fixed,5,1,0,2,915.1,2085.0,-1169.9,309.1,150.0,47,127,6,0,0,0,1,0,0,0,3,0,1,1,0,51,0,0,84,539.1,1.65,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_48,1593077270,standard,12,fixed,5,1,0,2,1466.0,2183.6,-717.6,760.0,148.6,75,125,28,0,8,0,0,2,0,0,13,0,16,16,16,22,0,0,84,908.6,2.78,3,2,4,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_49,1593087243,standard,12,fixed,5,1,0,2,-5969.5,-270.0,-5699.5,309.5,680.0,47,54,291,110,0,0,1,3,0,0,3,10,42,24,23,28,0,0,84,1069.5,3.27,2,4,1,2,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_50,1593097216,standard,12,fixed,5,1,0,1,2280.2,1760.0,520.2,115.2,620.0,127,89,0,25,0,5,1,0,0,0,0,10,24,23,23,26,0,0,84,735.2,2.25,2,3,1,6,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_51,1593107189,standard,12,fixed,5,1,0,1,2055.0,982.5,1072.5,150.0,309.5,127,45,0,2,0,0,2,0,0,0,10,4,1,1,0,56,0,0,84,539.5,1.65,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_52,1593117162,standard,12,fixed,5,1,0,1,-1111.1,-1431.0,319.9,118.9,610.0,175,44,165,123,0,0,37,20,1,1,0,12,18,13,12,50,0,0,84,968.9,2.96,3,3,1,2,0,0,,0,0,0,0,2,0,0,0.0,0.0
baseline,baseline_53,1593127135,standard,12,fixed,5,1,0,1,2084.1,1015.5,1068.5,149.1,309.5,127,47,0,2,0,0,1,0,0,0,0,3,1,1,0,55,0,0,84,538.6,1.64,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
